word,freq
00e,21
100m,26
13m²,18
19e,21
17ème,86
13ème,26
12m²,19
14m²,26
100e,20
17m²,21
19ème,47
10m²,38
12h,16
19m²,14
15e,52
18m²,20
16m²,30
16e,28
11ème,45
11m²,23
150e,18
16ème,129
15m²,32
12h30,13
14ème,39
15ème,61
10ème,43
18e,25
160cm,11
1er,976
18ème,94
12ème,30
17e,17
12e,25
10e,12
28m²,21
250e,12
24m²,19
26m²,27
20ème,26
2ème,867
23m²,22
20e,11
29m²,16
22m²,20
200m,35
200e,18
2e,122
25m²,45
24h,38
27m²,24
21m²,14
20m²,31
36m²,23
37m²,14
32m²,29
3e,132
3ème,924
31m²,25
35m²,40
30m²,50
3m²,11
39m²,19
33m²,30
300e,11
3x,14
300m,14
38m²,34
34m²,25
4e,83
40m²,64
49m²,14
46m²,17
47m²,17
44m²,14
4ème,894
42m²,21
48h,19
43m²,13
48m²,14
45m²,42
4x,14
5ème,673
51m²,20
5m²,15
56m²,13
5mn,27
5e,91
52m²,13
50e,17
57m²,18
54m²,14
50m²,60
53m²,14
50m,32
55m²,25
6e,90
63m²,13
65m²,19
6ème,564
67m²,11
60m²,31
70m²,27
7m²,11
75m²,12
7e,37
7ème,257
75e,11
80m²,26
8ème,131
85m²,13
8e,18
8m²,18
88m²,16
9h,21
9h30,19
9m²,20
9ème,57
9e,11
90m²,15
900e,11
arts,31
application,114
alexandre,25
abonnement,25
auteuil,144
armoire,47
anne,12
argentine,53
accueillir,13
appart,16
avant,20
aménagement,12
ascenseur,4606
alleray,14
aménagés,14
annexe,15
absolument,25
annuel,331
autre,129
achat,17
av,32
aménagée,1985
appeler,26
aucune,29
and,43
avenue,653
agence,630
acceptés,22
anvers,24
armée,25
allée,12
alesia,37
angle,131
ancien,1454
accès,217
alarme,14
accessible,38
assurance,75
année,45
art,47
annonce,62
augustin,43
arrondissement,173
alma,42
architecte,59
alur,377
arborée,149
atypique,78
arc,41
appoint,28
adresse,39
aucun,33
atelier,26
ancienne,17
autres,317
agent,24
attestation,18
attention,14
actuellement,84
annuelles,20
avoir,13
attenante,96
assomption,14
appartement,5460
arago,13
agréable,341
auguste,33
ave,16
attente,13
appartements,107
attenant,28
après,42
ange,39
ardouin,13
ans,46
annonces,133
avis,20
assuré,25
arrêts,12
aussi,19
agricole,22
abbé,12
alain,14
apparentes,105
acceptée,31
abbesses,23
aménagé,83
ameublement,13
absolu,44
actes,29
air,44
alésia,54
alcôve,25
aménager,46
accueil,12
avron,14
arrière,15
amples,20
an,128
arboré,27
antoine,21
artiste,13
andré,20
américaine,545
apartment,18
ascenseurs,33
amiral,11
ainsi,196
animé,46
années,130
agencement,15
agencé,80
avance,32
babylone,26
boulogne,22
bernard,11
baignoire,354
bizot,27
bld,20
bon,1259
blanc,19
bagnolet,14
baigné,34
balard,16
bail,1608
buttes,64
beprem,24
brassens,28
baux,219
bancaires,11
beaugrenelle,28
bénéficiant,65
bastille,88
bow,11
blomet,26
base,17
bancaire,70
baie,43
belles,373
boulevard,381
bains,3891
ballon,30
beaucoup,162
belle,907
bolivar,12
boulevards,18
balcon,1378
bailleur,16
bureaux,12
brique,24
bourgeois,75
boileau,16
bien,1038
bénéficie,73
beaux,103
bayen,12
blanche,40
buanderie,217
blancs,17
branchement,84
box,125
bourdonnais,12
balconnet,24
boucicaut,32
boissière,19
bas,30
beaubourg,14
building,21
beau,986
beprems,12
boursier,13
brochant,23
bus,124
boulets,13
book,132
belleville,41
bâtiment,29
bonne,80
bourse,11
bain,996
branchements,13
biens,15
bibliothèque,57
boulainvilliers,15
balconnets,14
bloc,11
barême,68
boiseries,15
bac,37
bel,2040
boutiques,11
bir,70
blindée,54
basse,44
briques,20
baies,45
batignolles,50
breteuil,17
balcons,108
butte,42
bureau,407
bois,42
bretagne,15
bosquet,16
bar,49
commun,22
canal,38
compagnie,13
charles,102
contactez,89
caulaincourt,26
cattalan,22
cabinet,108
contact,330
classique,29
cano,15
crimée,26
cheveux,11
cdd,14
carnot,13
coulissante,12
cambronne,40
cette,44
codes,11
cafetière,16
concierge,20
cinq,21
chez,15
comine,13
confort,135
chantreux,11
café,13
choix,11
chemin,28
ci,14
cluny,13
commodités,148
copropriété,324
cour,1456
cc,659
chapelle,40
caillou,12
choisy,17
chambres,2685
cumulus,17
collectifs,672
courcelles,54
cinquième,23
charenton,19
commode,19
connexion,39
contemporaine,25
coordonnées,18
candidature,50
caves,22
complet,45
crédit,22
commerce,94
champerret,28
calvaire,14
complète,200
câble,27
collectif,901
charge,213
compter,22
coeur,393
consulter,24
contractuel,51
clichy,39
conditionné,14
contrat,35
cuisinette,12
co,24
cm,44
calme,2404
cours,160
chaque,20
chambre,3808
cellier,25
corvisart,13
collective,58
composé,1304
climatisé,13
claire,28
conciergerie,11
communes,96
coin,841
century,52
commission,26
cave,1875
carrelage,45
contacté,14
chaumont,65
contractuelles,17
commerçant,128
censier,25
coté,43
ch,28
carrez,157
chauffage,3780
charmante,22
canapé,485
chebbi,11
cachet,28
charges,1737
cardinet,21
